City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,camacari,-12.6975,-38.3242,26.87,92,29,2.4,BR,1675304390
274,eureka,40.8021,-124.1637,9.03,80,16,1.7,US,1675304190
275,dongkan,33.9997,119.8308,3.65,42,98,5.24,CN,1675304555
276,guerrero negro,27.9769,-114.0611,14.38,58,0,4.59,MX,1675304555
277,xuchang,34.0167,113.8167,2.66,30,100,2.97,CN,1675304556
278,sakakah,29.9697,40.2064,8.64,46,2,5.85,SA,1675303889
279,waipawa,-41.4122,175.5153,25.06,51,100,2.98,NZ,1675304556
280,saldanha,-33.0117,17.9442,17.08,89,0,7.96,ZA,1675304038
281,ganganagar,29.9167,73.8833,10.39,38,57,2.24,IN,1675304557
282,mnogovershinnyy,53.9353,139.9242,-23.51,79,100,2.05,RU,1675304557
283,necochea,-38.5473,-58.7368,17.49,81,100,3.39,AR,1675303835
284,ekhabi,53.5102,142.9671,-23.59,88,78,5.46,RU,1675304498
285,barentu,15.1139,37.5928,18.15,72,73,1.45,ER,1675304558
286,kogon,39.7228,64.5517,6.02,100,40,4.12,UZ,1675304558
287,nanortalik,60.1432,-45.2371,-6.71,79,99,4.45,GL,1675304558
288,gwanda,-20.9333,29.0,18.75,89,97,1.57,ZW,1675304558
289,tura,25.5198,90.2201,16.33,41,6,1.0,IN,1675303966
290,ostrovnoy,68.0531,39.5131,-8.39,92,49,9.15,RU,1675304435
291,rocha,-34.4833,-54.3333,19.97,81,100,2.7,UY,1675304385
292,shahr-e babak,30.1165,55.1186,5.52,86,55,4.52,IR,1675304559
293,isangel,-19.55,169.2667,28.91,74,98,2.75,VU,1675304559
294,ilulissat,69.2167,-51.1,-9.99,52,75,9.26,GL,1675304560
295,opuwo,-18.0607,13.84,18.94,50,97,1.01,NA,1675304560
296,gizo,-8.103,156.8419,29.45,71,100,4.56,SB,1675303825
297,minokamo,35.482,137.0217,7.4,44,100,4.99,JP,1675304560
298,baykit,61.67,96.37,-18.94,100,100,1.15,RU,1675304411
299,malakal,9.5334,31.6605,25.99,18,62,5.13,SS,1675304561
300,honningsvag,70.9821,25.9704,-2.14,86,75,1.54,NO,1675304561
301,kulhudhuffushi,6.6221,73.07,26.58,69,64,5.02,MV,1675304562
302,naples,40.8333,14.25,11.19,77,0,1.03,IT,1675304359
303,san fernando,15.0286,120.6898,27.85,62,94,4.33,PH,1675304284
304,boca da mata,-9.6452,-36.2117,22.73,92,20,1.71,BR,1675304562
305,shumyachi,53.8583,32.4242,-1.75,95,100,4.69,RU,1675304562
306,charters towers,-20.1,146.2667,34.15,34,43,4.4,AU,1675304563
307,gat,31.61,34.7642,11.71,100,100,6.79,IL,1675304316
308,sur,22.5667,59.5289,18.36,72,3,2.38,OM,1675304563
309,kruisfontein,-34.0033,24.7314,14.94,76,31,2.73,ZA,1675304563
